State,Generation,Date,Estimated_Consumption,Estimated_Surplus,Energy_Status
राज्य / State / क्षेत्र / Region,2.0,Report-2025-12-02,1.92,0.08,Surplus
चंडीगढ़ / Chandigarh,0.0,Report-2025-12-02,0.0,0.0,Surplus
दिल्ली / Delhi,0.0,Report-2025-12-02,0.0,0.0,Surplus
हरियाणा / Haryana,0.0,Report-2025-12-02,0.0,0.0,Surplus
हिमाचल प्रदेश / Himachal Pradesh,0.0,Report-2025-12-02,0.0,0.0,Surplus
जम्मू और कश्मीर / Jammu and Kashmir,0.0,Report-2025-12-02,0.0,0.0,Surplus
लद्दाख़ / Ladakh,0.0,Report-2025-12-02,0.0,0.0,Surplus
पंजाब / Punjab,0.0,Report-2025-12-02,0.0,0.0,Surplus
राजस्थान / Rajasthan,6.26,Report-2025-12-02,6.17,0.09,Surplus
उत्तर प्रदेश / Uttar Pradesh,0.0,Report-2025-12-02,0.0,0.0,Surplus
उत्तराखंड / Uttarakhand,0.0,Report-2025-12-02,0.0,0.0,Surplus
उत्तरी क्षेत्र/Northern Region,6.26,Report-2025-12-02,6.43,-0.17,Deficit
छत्तीसगढ़ / Chhattisgarh,0.0,Report-2025-12-02,0.0,0.0,Surplus
गुजरात / Gujarat,26.72,Report-2025-12-02,25.21,1.51,Surplus
मध्य प्रदेश / Madhya Pradesh,1.9,Report-2025-12-02,1.79,0.11,Surplus
महाराष्ट्र / Maharashtra,8.3,Report-2025-12-02,7.8,0.5,Surplus
दमन और दीव / Daman & Diu,0.0,Report-2025-12-02,0.0,0.0,Surplus
दादरा और नगर ​​हवेली / Dadra & Nagar Haveli,0.0,Report-2025-12-02,0.0,0.0,Surplus
गोआ / Goa,0.0,Report-2025-12-02,0.0,0.0,Surplus
पश्चिमी क्षेत्र/Western Region,36.92,Report-2025-12-02,35.15,1.77,Surplus
आंध्र प्रदेश / Andhra Pradesh,6.27,Report-2025-12-02,6.19,0.08,Surplus
तेलंगाना / Telangana,0.42,Report-2025-12-02,0.39,0.03,Surplus
