1,2,3,4,5,6,Month,7,8,9,10,11,12,13,14,Estimated_Consumption,Estimated_Surplus,Energy_Status
,,,,,Month - April 2025,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 30.04.2025),"Monitored Capacity (MW) 
(as on 30.04.2025)
for which generation data is available 
",RE Generation(MU)  April 2025,RE Generation(MU)  April 2024,% of same Month Last Year ,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
पवन/Wind ,51058.549999999996,48502.345,6330.713202999999,4729.258749,133.8626947476415,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
सौर/Solar ,107945.61,87645.90(*),15811.8228714,12021.054573000001,131.53440719680526,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
बायोमास/Biomass ,10743.109999999999,9998.774,325.962261,278.73296200000004,116.94428196116968,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
बगास/Bagasse,,,444.436828,781.11151,56.89800013316921,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
लघु जल विद्युत्/Small Hydro ,5102.050000000001,4269.525,687.4793500999999,593.841199,115.76821400362287,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
बृहत् जल विद्युत्/Large Hydro($),47928.16,47928.16,9618.149999999998,8109.139999999999,118.60875505910613,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
अन्य/Others,850.9099999999999,946.855,245.66570000000002,231.3629517,106.18195272618492,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
कुल/Total Including Large Hydro,223628.38999999998,199291.56060000003,33464.23021349999,26744.5019447,125.12564370312249,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
कुल/Total Excluding Large Hydro,175700.22999999998,151363.40060000002,23846.0802135,18635.3619447,127.9614545951009,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
 (*) Solar Installed capacity including 2.5 GW rooftop solar.,,,,,,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during  April 2025  is 162.01 MUs .",,,,,,RE_Monthly_Generation_report_April_2025_,,,,,,,,,,,Deficit
,,,,Month -August 2025,,RE_Monthly_Generation_report_August_2025,,,,,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_August_2025,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_August_2025,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_August_2025,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 31.08.2025),"Monitored Capacity (MW) 
(as on 31.08.2025)
for which generation data is available 
",RE Generation(MU) August'2025,RE Generation(MU) August'2024,% of same Month Last Year ,RE_Monthly_Generation_report_August_2025,,,RE Generation(MU) April'2025- August'2025,RE Generation(MU) April'2024- August'2024,% of same period Last Year ,,,,,,Deficit
,1,2,3,4,5,RE_Monthly_Generation_report_August_2025,,,6,7,8,,,,,,Deficit
पवन/Wind ,52681.200000000004,51787.695,12893.72512,10268.876745000001,125.56120245846809,RE_Monthly_Generation_report_August_2025,78807.284749381,67673.092600214,62344.267359000005,47017.677039,132.5975064809922,49450.542239,,,74380.03,4427.25,Surplus
सौर/Solar ,123130.13000000002,96369.54(*),12634.94180962,10157.524466899999,124.3899716982527,RE_Monthly_Generation_report_August_2025,103749.271811933,91769.907699827,67780.16810751999,56626.5719805,119.69675319717545,55145.22629789999,,,99075.81,4673.46,Surplus
बायोमास/Biomass ,10743.109999999999,10072.323999999999,318.68271000000004,297.053504,107.28124923919431,RE_Monthly_Generation_report_August_2025,3112.039664,2873.394282,1678.333545,1428.495397,117.48960119330367,1359.650835,,,3013.73,98.31,Surplus
