state,year,month,renewable_generation,consumption,surplus_energy
ANDHRA PRADESH,2020,1,50591.679557488664,44711.05866490773,5880.620892580932
ANDHRA PRADESH,2020,2,47044.970105165645,40167.1280937363,6877.842011429349
ANDHRA PRADESH,2020,3,29063.93653560456,33197.968662067884,-4134.032126463324
ANDHRA PRADESH,2020,4,35178.89620502733,40749.66135415226,-5570.7651491249335
ANDHRA PRADESH,2020,5,49758.641925803524,48643.853994414545,1114.7879313889753
ANDHRA PRADESH,2020,6,48645.742286772205,45339.77796385524,3305.9643229169706
ANDHRA PRADESH,2020,7,39237.23220845202,40105.975392414366,-868.743183962346
ANDHRA PRADESH,2020,8,35525.40465814356,37606.311618010346,-2080.90695986679
ANDHRA PRADESH,2020,9,42360.52478149631,38975.13744946623,3385.387332030077
ANDHRA PRADESH,2020,10,36990.04494063032,33668.50744984054,3321.5374907897894
ANDHRA PRADESH,2020,11,38720.07851022067,39956.39889220203,-1236.3203819813596
ANDHRA PRADESH,2020,12,43688.075761884094,42683.72217528534,1004.3535865987582
ANDHRA PRADESH,2021,1,40899.41542197107,43233.99300024176,-2334.5775782706933
ANDHRA PRADESH,2021,2,39514.904983223314,41764.63171550466,-2249.7267322813495
ANDHRA PRADESH,2021,3,33431.3630870024,32563.78613815141,867.5769488509872
ANDHRA PRADESH,2021,4,37507.108230309466,33024.03763837855,4483.070591930923
ANDHRA PRADESH,2021,5,35995.94655075771,39112.778272861455,-3116.831722103743
ANDHRA PRADESH,2021,6,42643.635619091474,36762.2299537211,5881.405665370373
ANDHRA PRADESH,2021,7,46549.4905822651,43280.14146466287,3269.3491176022308
ANDHRA PRADESH,2021,8,33400.87910091443,34777.43955973265,-1376.560458818218
ANDHRA PRADESH,2021,9,38877.52097834889,38942.97885911926,-65.45788077036957
ANDHRA PRADESH,2021,10,48788.81752987236,44721.308566804306,4067.5089630680504
ANDHRA PRADESH,2021,11,40026.50460612941,40069.83547644022,-43.33087031080635
ANDHRA PRADESH,2021,12,49001.49544577972,49363.88622389081,-362.39077811109075
ANDHRA PRADESH,2022,1,33595.98856481889,31830.33686368059,1765.6517011382966
ANDHRA PRADESH,2022,2,36224.824817921275,33032.076622730085,3192.7481951911873
ANDHRA PRADESH,2022,3,29066.55630643719,30348.96161807673,-1282.405311639539
ANDHRA PRADESH,2022,4,36916.45712407001,34049.78821323495,2866.6689108350615
ANDHRA PRADESH,2022,5,37301.854626386164,35741.29800891251,1560.5566174736528
ANDHRA PRADESH,2022,6,37243.16285443317,36700.48774646187,542.6751079713015
ANDHRA PRADESH,2022,7,39037.190089080956,34536.40312179279,4500.786967288166
ANDHRA PRADESH,2022,8,45833.172583111416,47236.506396111596,-1403.3338130001775
ANDHRA PRADESH,2022,9,30312.234317745737,29459.545646585448,852.6886711602888
ANDHRA PRADESH,2022,10,50707.79069227449,49181.91510109173,1525.8755911827607
